symbol,interval,ts,open,high,low,close,volume,created_at,updated_at
BTC-USD,1h,2025-11-07 21:00:00.000000 +00:00,103750.0000000000,103848.0100000000,103289.1600000000,103848.0000000000,320.8281759200,2025-11-14 20:41:14.648698 +00:00,2025-11-14 20:41:14.648698 +00:00
BTC-USD,1h,2025-11-07 22:00:00.000000 +00:00,103848.0100000000,104041.9900000000,103548.7700000000,103584.8100000000,304.4659328300,2025-11-14 20:41:14.648698 +00:00,2025-11-14 20:41:14.648698 +00:00
BTC-USD,1h,2025-11-07 23:00:00.000000 +00:00,103584.8100000000,103735.5900000000,103268.0000000000,103284.2700000000,234.1412132700,2025-11-14 20:41:14.648698 +00:00,2025-11-14 20:41:14.648698 +00:00
BTC-USD,1h,2025-11-08 00:00:00.000000 +00:00,103281.7900000000,103350.0000000000,102479.6500000000,102638.0200000000,320.5397933700,2025-11-14 20:41:14.648698 +00:00,2025-11-14 20:41:14.648698 +00:00
BTC-USD,1h,2025-11-08 01:00:00.000000 +00:00,102638.0200000000,103205.8000000000,102583.7200000000,102930.1000000000,257.3908016100,2025-11-14 20:41:14.648698 +00:00,2025-11-14 20:41:14.648698 +00:00
BTC-USD,1h,2025-11-08 02:00:00.000000 +00:00,102930.0900000000,103298.9900000000,102707.1700000000,102798.1500000000,217.4516018100,2025-11-14 20:41:14.648698 +00:00,2025-11-14 20:41:14.648698 +00:00
BTC-USD,1h,2025-11-08 03:00:00.000000 +00:00,102798.1500000000,103247.7200000000,102516.1000000000,102526.2400000000,225.2306913100,2025-11-14 20:41:14.648698 +00:00,2025-11-14 20:41:14.648698 +00:00
BTC-USD,1h,2025-11-08 04:00:00.000000 +00:00,102526.2400000000,102780.0000000000,102343.4500000000,102500.2100000000,179.8438093400,2025-11-14 20:41:14.648698 +00:00,2025-11-14 20:41:14.648698 +00:00
BTC-USD,1h,2025-11-08 05:00:00.000000 +00:00,102500.2200000000,102686.0000000000,102218.0500000000,102247.5900000000,111.6542268700,2025-11-14 20:41:14.648698 +00:00,2025-11-14 20:41:14.648698 +00:00
BTC-USD,1h,2025-11-08 06:00:00.000000 +00:00,102247.6000000000,102476.7900000000,102030.5900000000,102179.0000000000,131.7934983100,2025-11-14 20:41:14.648698 +00:00,2025-11-14 20:41:14.648698 +00:00
BTC-USD,1h,2025-11-08 07:00:00.000000 +00:00,102179.0100000000,102356.0000000000,101856.3000000000,102295.7800000000,165.9404843300,2025-11-14 20:41:14.648698 +00:00,2025-11-14 20:41:14.648698 +00:00
