id,article_id,coin,polarity,aspects,confidence,ts,zscore_window,zscore,created_at,updated_at
1,1,BTC,-1.00000,"{hype,regulatory}",0.87000,2025-11-14 18:18:08.000000 +00:00,6,,2025-11-14 20:41:03.208337 +00:00,2025-11-14 20:41:03.208337 +00:00
2,2,BTC,-1.00000,{},0.71000,2025-11-14 18:18:10.000000 +00:00,6,,2025-11-14 20:41:03.221653 +00:00,2025-11-14 20:41:03.221653 +00:00
3,2,CORE,-1.00000,{},0.71000,2025-11-14 18:18:10.000000 +00:00,6,,2025-11-14 20:41:03.221653 +00:00,2025-11-14 20:41:03.221653 +00:00
4,4,BTC,-1.00000,{regulatory},0.79000,2025-11-14 18:20:08.000000 +00:00,6,,2025-11-14 20:41:03.226831 +00:00,2025-11-14 20:41:03.226831 +00:00
5,6,BNB,0.00000,{},0.40000,2025-11-14 18:23:31.000000 +00:00,6,,2025-11-14 20:41:03.231485 +00:00,2025-11-14 20:41:03.231485 +00:00
6,7,BTC,-1.00000,"{regulatory,security}",0.71000,2025-11-14 18:25:11.000000 +00:00,6,,2025-11-14 20:41:03.233906 +00:00,2025-11-14 20:41:03.233906 +00:00
7,9,ETH,-1.00000,{},0.71000,2025-11-14 18:30:00.000000 +00:00,6,,2025-11-14 20:41:03.238273 +00:00,2025-11-14 20:41:03.238273 +00:00
8,10,DOGE,0.00000,"{hype,regulatory,security}",0.60000,2025-11-14 18:30:00.000000 +00:00,6,,2025-11-14 20:41:03.240457 +00:00,2025-11-14 20:41:03.240457 +00:00
9,11,XRP,-1.00000,{regulatory},0.63000,2025-11-14 18:30:12.000000 +00:00,6,,2025-11-14 20:41:03.242944 +00:00,2025-11-14 20:41:03.242944 +00:00
10,12,BTC,-1.00000,{},0.63000,2025-11-14 18:33:48.000000 +00:00,6,,2025-11-14 20:41:03.245443 +00:00,2025-11-14 20:41:03.245443 +00:00
