symbol,feature_name,ts,value
BTC,correlation:return_vs_sentiment:spearman:1h,2025-11-26 22:00:00.000000 +00:00,0.500000000000
BTC,correlation:return_vs_sentiment:pearson:1h,2025-11-26 22:00:00.000000 +00:00,0.888832351932
BTC,correlation:return_vs_sentiment:spearman:1h,2025-11-26 23:00:00.000000 +00:00,-0.500000000000
XRP,correlation:return_vs_sentiment:pearson:1h,2025-11-27 23:00:00.000000 +00:00,-0.932692113020
BTC,correlation:return_vs_sentiment:pearson:1h,2025-11-26 23:00:00.000000 +00:00,-0.835176438931
BTC,correlation:return_vs_sentiment:pearson:1h,2025-11-27 00:00:00.000000 +00:00,-0.668020685270
BTC,correlation:return_vs_sentiment:spearman:1h,2025-11-27 00:00:00.000000 +00:00,-0.500000000000
ETH,correlation:return_vs_sentiment:spearman:1h,2025-11-27 23:00:00.000000 +00:00,-1.000000000000
XRP,correlation:return_vs_sentiment:pearson:4h,2025-11-28 00:00:00.000000 +00:00,0.544397873710
XRP,correlation:return_vs_sentiment:pearson:1h,2025-11-27 00:00:00.000000 +00:00,0.944984051989
XRP,correlation:return_vs_sentiment:pearson:1h,2025-11-27 13:00:00.000000 +00:00,-0.419429401918
BTC,correlation:return_vs_sentiment:pearson:1h,2025-11-27 10:00:00.000000 +00:00,-0.452414463024
BTC,correlation:return_vs_sentiment:spearman:1h,2025-11-27 10:00:00.000000 +00:00,-0.500000000000
ETH,correlation:return_vs_sentiment:pearson:1h,2025-11-27 10:00:00.000000 +00:00,-0.698432990536
ETH,correlation:return_vs_sentiment:spearman:1h,2025-11-27 10:00:00.000000 +00:00,-0.500000000000
ETH,correlation:return_vs_sentiment:spearman:1h,2025-11-27 11:00:00.000000 +00:00,-0.500000000000
XRP,correlation:return_vs_sentiment:pearson:1h,2025-11-27 20:00:00.000000 +00:00,-0.154466229158
BTC,correlation:return_vs_sentiment:spearman:1h,2025-11-27 11:00:00.000000 +00:00,-0.500000000000
XRP,correlation:return_vs_sentiment:pearson:1h,2025-11-27 21:00:00.000000 +00:00,0.615348397788
