leader,follower,window,computed_ts,best_lag_min,strength
BTC,ETH,1h,2025-11-26 22:17:59.713510 +00:00,0,0.897846
ETH,BTC,1h,2025-11-26 22:17:59.713510 +00:00,0,0.897846
BTC,ETH,4h,2025-11-26 22:17:59.713510 +00:00,0,0.900985
ETH,BTC,4h,2025-11-26 22:17:59.713510 +00:00,0,0.900985
BTC,ETH,1h,2025-11-26 23:33:52.862527 +00:00,0,0.897356
ETH,BTC,1h,2025-11-26 23:33:52.862527 +00:00,0,0.897356
BTC,ETH,4h,2025-11-26 23:33:52.862527 +00:00,0,0.899915
ETH,BTC,4h,2025-11-26 23:33:52.862527 +00:00,0,0.899915
BTC,ETH,1h,2025-11-26 23:37:21.590446 +00:00,0,0.897413
ETH,BTC,1h,2025-11-26 23:37:21.590446 +00:00,0,0.897413
BTC,ETH,4h,2025-11-26 23:37:21.590446 +00:00,0,0.900158
ETH,BTC,4h,2025-11-26 23:37:21.590446 +00:00,0,0.900158
BTC,ETH,1h,2025-11-27 10:49:35.878060 +00:00,0,0.896010
ETH,BTC,1h,2025-11-27 10:49:35.878060 +00:00,0,0.896010
BTC,ETH,4h,2025-11-27 10:49:35.878060 +00:00,0,0.899179
ETH,BTC,4h,2025-11-27 10:49:35.878060 +00:00,0,0.899179
BTC,ETH,1h,2025-11-27 10:53:05.142236 +00:00,0,0.895929
ETH,BTC,1h,2025-11-27 10:53:05.142236 +00:00,0,0.895929
BTC,ETH,4h,2025-11-27 10:53:05.142236 +00:00,0,0.899160
ETH,BTC,4h,2025-11-27 10:53:05.142236 +00:00,0,0.899160
BTC,ETH,1h,2025-11-27 10:53:38.817314 +00:00,0,0.895990
ETH,BTC,1h,2025-11-27 10:53:38.817314 +00:00,0,0.895990
BTC,ETH,4h,2025-11-27 10:53:38.817314 +00:00,0,0.899188
ETH,BTC,4h,2025-11-27 10:53:38.817314 +00:00,0,0.899188
BTC,ETH,1h,2025-11-27 10:54:58.905393 +00:00,0,0.896017
ETH,BTC,1h,2025-11-27 10:54:58.905393 +00:00,0,0.896017
BTC,ETH,4h,2025-11-27 10:54:58.905393 +00:00,0,0.899193
ETH,BTC,4h,2025-11-27 10:54:58.905393 +00:00,0,0.899193
BTC,ETH,1h,2025-11-27 10:56:06.130481 +00:00,0,0.896058
ETH,BTC,1h,2025-11-27 10:56:06.130481 +00:00,0,0.896058
BTC,ETH,4h,2025-11-27 10:56:06.130481 +00:00,0,0.899200
ETH,BTC,4h,2025-11-27 10:56:06.130481 +00:00,0,0.899200
BTC,ETH,1h,2025-11-27 11:06:15.034056 +00:00,0,0.896024
ETH,BTC,1h,2025-11-27 11:06:15.034056 +00:00,0,0.896024
BTC,ETH,4h,2025-11-27 11:06:15.034056 +00:00,0,0.899203
ETH,BTC,4h,2025-11-27 11:06:15.034056 +00:00,0,0.899203
BTC,ETH,1h,2025-11-27 11:09:04.742805 +00:00,0,0.896031
ETH,BTC,1h,2025-11-27 11:09:04.742805 +00:00,0,0.896031
BTC,ETH,4h,2025-11-27 11:09:04.742805 +00:00,0,0.899170
ETH,BTC,4h,2025-11-27 11:09:04.742805 +00:00,0,0.899170
BTC,ETH,1h,2025-11-27 11:10:15.195251 +00:00,0,0.896028
BTC,SOL,1h,2025-11-27 11:10:15.195251 +00:00,0,0.824693
BTC,USDT,1h,2025-11-27 11:10:15.195251 +00:00,0,0.161450
